Label,Sampling,Technique,Classifier,Test Split Size,Train Split Size,Iteration,Subsample,Precision,Recall,AUC,Accuracy
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,6,30%,0.850986121,0.427679883,0.676381256,0.676335598
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,6,30%,0.841121495,0.450500556,0.682703003,0.682703003
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,6,30%,0.830578512,0.43412527,0.672786177,0.672786177
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.33,6,30%,0.915428322,0.556825734,0.659555373,0.593377773
Immune,Imbalanced,Imbalanced,Decision Tree,0.67,0.33,6,30%,0.930684932,0.583676976,0.706307724,0.633374435
Immune,Imbalanced,Imbalanced,Naive Bayes,0.67,0.33,6,30%,0.936123348,0.585668351,0.713236737,0.636864329
Immune,Imbalanced,Imbalanced,XGBoost,0.67,0.33,6,30%,0.944938821,0.598239437,0.733643528,0.655172414
Immune,Imbalanced,Imbalanced,Random Forest,0.67,0.33,6,30%,0.951403888,0.598099117,0.739682804,0.656047516
Immune,Imbalanced,Imbalanced,Logistic Regression,0.83,0.17,6,30%,0.92111014,0.589263246,0.639462174,0.639492952
Immune,Imbalanced,Imbalanced,Decision Tree,0.83,0.17,6,30%,0.904657534,0.615012107,0.669100485,0.669132758
Immune,Imbalanced,Imbalanced,Naive Bayes,0.83,0.17,6,30%,0.920337739,0.622393247,0.680881319,0.68092528
Immune,Imbalanced,Imbalanced,XGBoost,0.83,0.17,6,30%,0.924916574,0.628021148,0.688542825,0.688542825
Immune,Imbalanced,Imbalanced,Random Forest,0.83,0.17,6,30%,0.914686825,0.624170965,0.681965443,0.681965443
Immune,Imbalanced,Imbalanced,Logistic Regression,0.17,0.17,7,35%,0.606750392,0.868864743,0.65291898,0.652898754
Immune,Imbalanced,Imbalanced,Decision Tree,0.17,0.17,7,35%,0.623183673,0.896430249,0.677195867,0.677195867
Immune,Imbalanced,Imbalanced,Naive Bayes,0.17,0.17,7,35%,0.617989646,0.901794145,0.672262711,0.672226593
Immune,Imbalanced,Imbalanced,XGBoost,0.17,0.17,7,35%,0.636303191,0.912297426,0.695299881,0.695351609
Immune,Imbalanced,Imbalanced,Random Forest,0.17,0.17,7,35%,0.626692456,0.9,0.682192414,0.682091624
Immune,Imbalanced,Imbalanced,Logistic Regression,0.33,0.33,7,35%,0.567934124,0.87860622,0.605158139,0.605132528
Immune,Imbalanced,Imbalanced,Decision Tree,0.33,0.33,7,35%,0.58773718,0.880225458,0.631399718,0.631399718
Immune,Imbalanced,Imbalanced,Naive Bayes,0.33,0.33,7,35%,0.592996435,0.890147938,0.639693227,0.639653816
Immune,Imbalanced,Imbalanced,XGBoost,0.33,0.33,7,35%,0.614983713,0.899904671,0.668121148,0.6681764
Immune,Imbalanced,Imbalanced,Random Forest,0.33,0.33,7,35%,0.607929515,0.894444444,0.65906311,0.658954188
Immune,Imbalanced,Imbalanced,Logistic Regression,0.5,0.5,7,35%,0.6131989,0.877294867,0.662003867,0.661983703
Immune,Imbalanced,Imbalanced,Decision Tree,0.5,0.5,7,35%,0.792343387,0.481211837,0.677548145,0.677548145
Immune,Imbalanced,Imbalanced,Naive Bayes,0.5,0.5,7,35%,0.625054657,0.899905571,0.680128997,0.680094414
Immune,Imbalanced,Imbalanced,XGBoost,0.5,0.5,7,35%,0.799380325,0.491897045,0.684193634,0.684147795
Immune,Imbalanced,Imbalanced,Random Forest,0.5,0.5,7,35%,0.634003894,0.90462963,0.69144525,0.691346599
Immune,Imbalanced,Imbalanced,Logistic Regression,0.67,0.67,7,35%,0.898838516,0.560710529,0.652996774,0.597358809
